ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
2048,2048,596.48,128,44.08,27.470,127,44.22,52184460
4096,2048,545.76,128,40.03,25.683,127,40.09,80373132
6144,2048,539.73,128,39.77,27.406,127,39.86,108561804
8192,2048,533.69,128,39.46,28.738,127,39.56,136750476
10240,2048,523.34,128,39.10,28.504,127,39.19,164939148
12288,2048,518.63,128,39.13,28.419,127,39.22,193127820
14336,2048,512.58,128,38.82,28.773,127,38.91,221316492
16384,2048,507.90,128,38.56,28.935,127,38.65,249505164
18432,2048,498.28,128,38.18,29.423,127,38.26,277693836
20480,2048,494.38,128,38.04,29.861,127,38.13,305882508
22528,2048,488.14,128,37.87,29.537,127,37.95,334071180
24576,2048,483.92,128,37.78,29.600,127,37.86,362259852
26624,2048,475.12,128,37.54,30.383,127,37.63,390448524
28672,2048,471.16,128,37.47,29.855,127,37.55,418637196
30720,2048,465.39,128,37.26,29.811,127,37.34,446825868
32768,2048,461.50,128,36.84,29.900,127,36.91,475014540
34816,2048,452.77,128,36.60,30.470,127,36.67,503203212
36864,2048,450.70,128,36.53,30.349,127,36.60,531391884
38912,2048,446.16,128,36.41,30.910,127,36.48,559580556
40960,2048,441.69,128,36.29,31.059,127,36.37,587769228
43008,2048,434.48,128,36.16,31.367,127,36.24,615957900
45056,2048,430.72,128,36.00,31.674,127,36.08,644146572
47104,2048,426.15,128,35.93,31.572,127,36.01,672335244
49152,2048,423.52,128,35.89,31.099,127,35.96,700523916
51200,2048,417.06,128,35.58,31.989,127,35.65,728712588
53248,2048,414.52,128,35.49,31.712,127,35.57,756901260
55296,2048,409.41,128,35.36,32.081,127,35.43,785089932
57344,2048,407.09,128,35.22,31.865,127,35.29,813278604
59392,2048,400.16,128,35.20,31.980,127,35.27,841467276
61440,2048,398.46,128,34.96,31.856,127,35.03,869655948
63488,2048,394.29,128,34.77,31.989,127,34.84,897844620
65536,2048,391.33,128,34.35,37.199,127,34.46,0
