ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
2048,2048,662.28,128,36.69,245.160,127,39.79,52184460
4096,2048,691.87,128,37.29,26.747,127,37.85,80373132
6144,2048,664.80,128,36.92,31.932,127,37.54,108561804
8192,2048,676.54,128,36.90,28.072,127,37.47,136750476
10240,2048,622.22,128,36.67,28.368,127,37.23,164939148
12288,2048,583.99,128,36.47,28.851,127,37.03,193127820
14336,2048,563.92,128,36.20,29.361,127,36.75,221316492
16384,2048,562.92,128,35.97,28.922,127,36.51,249505164
18432,2048,559.70,128,35.70,29.230,127,36.24,277693836
20480,2048,560.80,128,35.58,29.534,127,36.12,305882508
22528,2048,560.00,128,35.27,29.728,127,35.80,334071180
24576,2048,562.74,128,35.18,29.392,127,35.70,362259852
26624,2048,562.82,128,34.71,30.487,127,35.22,390448524
28672,2048,566.53,128,34.54,30.626,127,35.04,418637196
30720,2048,564.76,128,34.37,30.621,127,34.87,446825868
32768,2048,533.85,128,34.42,31.342,127,34.93,475014540
34816,2048,532.51,128,34.08,35.182,127,34.61,503203212
36864,2048,534.47,128,33.99,33.584,127,34.51,531391884
38912,2048,528.53,128,33.81,34.938,127,34.33,559580556
40960,2048,526.32,128,33.20,34.422,127,33.69,587769228
43008,2048,515.63,128,32.93,33.777,127,33.43,615957900
45056,2048,516.58,128,32.57,34.861,127,33.07,644146572
47104,2048,514.51,128,32.25,35.193,127,32.74,672335244
49152,2048,513.26,128,31.99,35.046,127,32.47,700523916
51200,2048,506.04,128,31.76,34.958,127,32.23,728712588
53248,2048,503.48,128,31.42,34.927,127,31.87,756901260
55296,2048,501.19,128,31.20,35.792,127,31.65,785089932
57344,2048,499.98,128,31.06,33.788,127,31.49,813278604
59392,2048,490.61,128,30.88,32.841,127,31.29,841467276
61440,2048,488.86,128,30.76,32.613,127,31.17,869655948
63488,2048,485.70,128,30.57,35.368,127,30.99,897844620
65536,2048,483.92,128,30.28,37.901,127,30.71,0
