ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,349.88,128,29.72,52184460
4096,2048,338.07,128,31.07,80373132
6144,2048,334.14,128,30.75,108561804
8192,2048,331.16,128,30.76,136750476
10240,2048,323.85,128,30.43,164939148
12288,2048,312.27,128,30.41,193127820
14336,2048,310.32,128,30.07,221316492
16384,2048,313.19,128,30.08,249505164
18432,2048,310.01,128,29.72,277693836
20480,2048,306.72,128,29.84,305882508
22528,2048,303.13,128,29.56,334071180
24576,2048,301.19,128,29.53,362259852
26624,2048,295.78,128,29.24,390448524
28672,2048,283.19,128,29.26,418637196
30720,2048,282.88,128,28.97,446825868
32768,2048,279.47,128,28.91,475014540
34816,2048,269.97,128,28.62,503203212
36864,2048,264.96,128,28.56,531391884
38912,2048,262.98,128,28.33,559580556
40960,2048,260.56,128,26.30,587769228
43008,2048,250.09,128,27.97,615957900
45056,2048,247.52,128,28.04,644146572
47104,2048,245.00,128,26.86,672335244
49152,2048,238.96,128,27.02,700523916
51200,2048,235.29,128,26.73,728712588
53248,2048,233.92,128,26.24,756901260
55296,2048,229.71,128,26.06,785089932
57344,2048,227.64,128,25.84,813278604
59392,2048,224.30,128,25.25,841467276
61440,2048,220.99,128,25.43,869655948
63488,2048,218.38,128,25.01,897844620
65536,2048,216.46,128,24.84,926033292
