ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,372.15,128,31.48,52184460
4096,2048,337.42,128,31.10,80373132
6144,2048,333.76,128,30.77,108561804
8192,2048,330.69,128,30.79,136750476
10240,2048,322.36,128,30.46,164939148
12288,2048,310.95,128,30.45,193127820
14336,2048,310.05,128,30.15,221316492
16384,2048,312.23,128,30.06,249505164
18432,2048,308.68,128,29.69,277693836
20480,2048,306.42,128,29.84,305882508
22528,2048,302.78,128,29.55,334071180
24576,2048,300.89,128,29.55,362259852
26624,2048,295.56,128,29.20,390448524
28672,2048,292.72,128,29.27,418637196
30720,2048,289.74,128,28.96,446825868
32768,2048,287.67,128,28.93,475014540
34816,2048,282.43,128,28.67,503203212
36864,2048,280.37,128,28.62,531391884
38912,2048,277.36,128,28.47,559580556
40960,2048,275.66,128,28.48,587769228
43008,2048,271.20,128,28.22,615957900
45056,2048,268.62,128,28.21,644146572
47104,2048,265.80,128,27.98,672335244
49152,2048,263.89,128,28.05,700523916
51200,2048,260.43,128,27.81,728712588
53248,2048,258.63,128,27.83,756901260
55296,2048,255.69,128,27.46,785089932
57344,2048,254.13,128,27.55,813278604
59392,2048,250.31,128,27.31,841467276
61440,2048,248.56,128,27.33,869655948
63488,2048,245.97,128,27.08,897844620
65536,2048,244.73,128,26.97,926033292
