ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,369.20,512,31.40,52184460
10240,8192,331.33,512,30.51,164939148
18432,8192,315.69,512,29.81,277693836
26624,8192,300.60,512,29.30,390448524
34816,8192,288.49,512,28.72,503203212
43008,8192,276.17,512,28.20,615957900
51200,8192,264.04,512,27.78,728712588
59392,8192,254.39,512,27.35,841467276
67584,8192,243.61,512,26.55,954221964
75776,8192,235.22,512,26.30,1066976652
83968,8192,227.95,512,25.92,1179731340
92160,8192,219.75,512,25.56,1292486028
100352,8192,212.97,512,25.24,1405240716
108544,8192,206.20,512,24.85,1517995404
116736,8192,199.91,512,24.47,1630750092
124928,8192,193.67,512,24.17,1743504780
133120,8192,187.57,512,23.59,1856259468
141312,8192,181.45,512,23.21,1969014156
149504,8192,177.46,512,22.92,2081768844
157696,8192,172.58,512,22.65,2194523532
165888,8192,167.99,512,22.33,2307278220
174080,8192,163.62,512,22.02,2420032908
182272,8192,160.07,512,21.79,2532787596
190464,8192,156.33,512,21.46,2645542284
198656,8192,152.75,512,21.27,2758296972
206848,8192,148.89,512,20.98,2871051660
215040,8192,145.45,512,20.68,2983806348
223232,8192,142.16,512,20.52,3096561036
231424,8192,139.18,512,20.23,3209315724
239616,8192,136.31,512,20.03,3322070412
247808,8192,133.53,512,19.79,3434825100
256000,8192,130.93,512,19.59,3547579788
262144,6144,128.25,512,19.06,3632145804
