model,concurrency,ctx,status,prefill_tps,last_ttft_s,decode_agg_tps,decode_stream_tps,decode_wall_tps,step_ms_mean,step_ms_p50,step_ms_p95,step_ms_max,mixed_step_ms_p50,mixed_step_ms_p95,mixed_decode_tps,mixed_prefill_tps,estimate_gib,predicted_gib,footprint_gib
Qwen3.8 Flash Next,1,4096,ok,1408.26,2.909,54.34,54.34,54.19,18.403,18.374,18.534,18.550,0.000,0.000,0.00,0.00,3.66,4.03,4.03
Qwen3.8 Flash Next,2,4096,ok,1426.00,5.745,84.06,42.03,83.84,23.794,23.809,23.910,23.949,0.000,0.000,0.00,0.00,7.33,4.18,4.18
Qwen3.8 Flash Next,4,4096,ok,1420.62,11.533,109.47,27.37,109.09,36.541,36.512,37.207,38.816,0.000,0.000,0.00,0.00,14.66,4.47,4.47
Qwen3.8 Flash Next,8,4096,ok,1398.87,23.425,133.12,16.64,132.55,60.097,59.574,62.567,62.895,0.000,0.000,0.00,0.00,29.32,5.05,5.05
Qwen3.8 Flash Next,16,4096,ok,1383.91,47.356,199.80,12.49,198.53,80.081,80.160,83.667,83.800,0.000,0.000,0.00,0.00,58.64,6.21,6.21
Qwen3.8 Flash Next,1,8192,ok,1438.95,5.693,53.41,53.41,53.31,18.722,18.403,20.782,20.946,0.000,0.000,0.00,0.00,7.30,8.03,8.03
Qwen3.8 Flash Next,2,8192,ok,1438.78,11.387,82.42,41.21,82.20,24.267,23.783,27.734,27.977,0.000,0.000,0.00,0.00,14.60,8.32,8.32
Qwen3.8 Flash Next,4,8192,ok,1433.94,22.852,99.52,24.88,99.21,40.192,40.583,41.888,42.191,0.000,0.000,0.00,0.00,29.21,8.90,8.90
Qwen3.8 Flash Next,8,8192,ok,1412.87,46.385,123.78,15.47,123.29,64.629,65.535,66.482,67.253,0.000,0.000,0.00,0.00,58.42,10.05,10.05
Qwen3.8 Flash Next,16,8192,ok,1374.09,95.388,188.64,11.79,187.51,84.817,85.511,86.959,87.577,0.000,0.000,0.00,0.00,116.83,12.36,12.36
Qwen3.8 Flash Next,1,16384,ok,1349.81,12.138,50.92,50.92,50.79,19.637,19.421,21.587,21.725,0.000,0.000,0.00,0.00,7.69,8.46,8.46
Qwen3.8 Flash Next,2,16384,ok,1344.69,24.368,80.20,40.10,80.01,24.936,24.017,27.920,27.981,0.000,0.000,0.00,0.00,15.37,9.03,9.03
Qwen3.8 Flash Next,4,16384,ok,1338.24,48.972,95.84,23.96,95.56,41.735,41.950,42.668,42.757,0.000,0.000,0.00,0.00,30.75,10.18,10.18
