model,concurrency,ctx,status,prefill_tps,last_ttft_s,decode_agg_tps,decode_stream_tps,decode_wall_tps,step_ms_mean,step_ms_p50,step_ms_p95,step_ms_max,mixed_step_ms_p50,mixed_step_ms_p95,mixed_decode_tps,mixed_prefill_tps,estimate_gib,predicted_gib,footprint_gib
Qwen3.8 Flash Next,1,4096,ok,1367.39,2.995,59.10,59.10,58.92,24.586,24.578,24.932,24.971,0.000,0.000,0.00,0.00,3.81,4.20,4.20
Qwen3.8 Flash Next,2,4096,ok,1378.58,5.942,83.23,41.62,83.01,25.907,23.963,38.235,38.668,0.000,0.000,0.00,0.00,7.63,4.35,4.35
Qwen3.8 Flash Next,4,4096,ok,1372.70,11.936,106.29,26.57,105.97,49.393,57.346,60.784,64.044,0.000,0.000,0.00,0.00,15.26,4.65,4.65
Qwen3.8 Flash Next,8,4096,ok,1356.70,24.153,148.84,18.60,148.28,74.325,77.915,84.835,86.320,0.000,0.000,0.00,0.00,30.52,5.25,5.25
Qwen3.8 Flash Next,16,4096,ok,1345.16,48.720,185.23,11.58,184.31,107.807,87.611,142.022,143.169,0.000,0.000,0.00,0.00,61.03,6.46,6.46
Qwen3.8 Flash Next,1,8192,ok,1396.04,5.868,58.28,58.28,58.12,24.932,24.671,27.260,28.857,0.000,0.000,0.00,0.00,7.31,8.04,8.04
Qwen3.8 Flash Next,2,8192,ok,1392.83,11.763,73.06,36.53,72.89,42.562,42.673,44.615,44.897,0.000,0.000,0.00,0.00,14.62,8.33,8.33
Qwen3.8 Flash Next,4,8192,ok,1386.57,23.632,93.66,23.41,93.43,65.230,66.407,68.785,69.601,0.000,0.000,0.00,0.00,29.24,8.92,8.92
Qwen3.8 Flash Next,8,8192,ok,1381.43,47.441,143.34,17.92,142.87,86.984,87.349,89.631,90.992,0.000,0.000,0.00,0.00,58.48,10.10,10.10
Qwen3.8 Flash Next,16,8192,ok,1325.34,98.897,173.84,10.87,173.04,115.676,92.587,150.380,210.062,0.000,0.000,0.00,0.00,116.96,12.45,12.45
Qwen3.8 Flash Next,1,16384,ok,1291.58,12.685,60.95,60.95,60.78,27.431,27.101,29.531,43.766,0.000,0.000,0.00,0.00,7.70,8.46,8.46
Qwen3.8 Flash Next,2,16384,ok,1277.20,25.656,77.09,38.54,76.89,44.591,44.923,45.727,45.854,0.000,0.000,0.00,0.00,15.39,9.05,9.05
Qwen3.8 Flash Next,4,16384,ok,1261.89,51.935,98.25,24.56,97.99,68.068,68.830,71.709,71.948,0.000,0.000,0.00,0.00,30.78,10.21,10.21
Qwen3.8 Flash Next,8,16384,ok,1239.41,105.753,138.23,17.28,137.78,90.993,91.581,94.188,96.078,0.000,0.000,0.00,0.00,61.56,12.53,12.53
Qwen3.8 Flash Next,16,16384,ok,1219.13,215.025,171.98,10.75,171.22,121.109,130.696,161.989,163.340,0.000,0.000,0.00,0.00,123.12,17.17,17.17
Qwen3.8 Flash Next,1,32768,ok,1215.03,26.969,54.48,54.48,54.34,27.533,27.253,29.446,30.413,0.000,0.000,0.00,0.00,8.47,9.31,9.31
Qwen3.8 Flash Next,2,32768,ok,1212.33,54.058,77.77,38.88,77.58,27.125,26.157,37.631,40.382,0.000,0.000,0.00,0.00,16.93,10.47,10.47
Qwen3.8 Flash Next,4,32768,ok,1227.36,106.792,92.59,23.15,92.33,44.722,43.355,62.534,72.242,0.000,0.000,0.00,0.00,33.86,12.77,12.77
Qwen3.8 Flash Next,8,32768,ok,1231.61,212.846,116.32,14.54,115.90,70.521,69.171,86.276,100.188,0.000,0.000,0.00,0.00,67.73,17.39,17.39
Qwen3.8 Flash Next,16,32768,ok,1224.80,428.059,160.65,10.04,160.07,151.634,156.998,163.827,169.412,0.000,0.000,0.00,0.00,135.46,26.61,26.61
Qwen3.8 Flash Next,1,65536,ok,1200.30,54.600,53.73,53.73,53.58,27.629,28.078,29.761,31.523,0.000,0.000,0.00,0.00,10.01,11.01,11.01
Qwen3.8 Flash Next,2,65536,ok,1198.19,109.391,66.63,33.31,66.46,45.027,45.459,47.414,48.003,0.000,0.000,0.00,0.00,20.01,13.31,13.31
Qwen3.8 Flash Next,4,65536,ok,1199.68,218.511,89.01,22.25,88.78,68.814,69.704,72.753,75.167,0.000,0.000,0.00,0.00,40.03,17.91,17.91
Qwen3.8 Flash Next,8,65536,ok,1171.05,447.709,126.69,15.84,126.30,96.571,99.077,106.432,110.390,0.000,0.000,0.00,0.00,80.06,27.10,27.10
Qwen3.8 Flash Next,16,65536,nofit,0.00,0.000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,160.12,45.49,0.00
Qwen3.8 Flash Next,1,131072,ok,1088.77,120.386,53.13,53.13,52.99,29.411,29.647,30.370,30.611,0.000,0.000,0.00,0.00,13.09,14.40,14.40
Qwen3.8 Flash Next,2,131072,ok,1075.16,243.818,68.33,34.16,68.17,50.081,50.693,54.444,55.740,0.000,0.000,0.00,0.00,26.18,18.99,18.99
Qwen3.8 Flash Next,4,131072,ok,1070.29,489.854,87.38,21.84,87.17,75.106,76.272,84.162,89.473,0.000,0.000,0.00,0.00,52.36,28.17,28.17
Qwen3.8 Flash Next,8,131072,nofit,0.00,0.000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,104.72,46.53,0.00
Qwen3.8 Flash Next,16,131072,nofit,0.00,0.000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,209.45,83.25,0.00
Qwen3.8 Flash Next,1,262144,ok,1050.56,249.528,48.54,48.54,48.42,30.904,31.198,31.886,32.394,0.000,0.000,0.00,0.00,19.26,21.18,21.18
Qwen3.8 Flash Next,2,262144,ok,1040.37,503.943,68.04,34.02,67.89,48.911,49.034,56.314,57.664,0.000,0.000,0.00,0.00,38.51,30.36,30.36
Qwen3.8 Flash Next,4,262144,nofit,0.00,0.000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,77.03,48.70,0.00
Qwen3.8 Flash Next,8,262144,nofit,0.00,0.000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,154.05,85.39,0.00
Qwen3.8 Flash Next,16,262144,nofit,0.00,0.000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,308.10,158.78,0.00
