ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,372.62,128,31.51,52184460
4096,2048,337.35,128,31.15,80373132
6144,2048,333.20,128,30.91,108561804
8192,2048,330.65,128,30.82,136750476
10240,2048,323.88,128,30.58,164939148
12288,2048,321.33,128,30.59,193127820
14336,2048,317.51,128,30.30,221316492
16384,2048,314.50,128,30.04,249505164
18432,2048,307.67,128,29.79,277693836
20480,2048,304.30,128,29.95,305882508
22528,2048,303.21,128,29.68,334071180
24576,2048,300.32,128,29.67,362259852
26624,2048,295.97,128,29.34,390448524
28672,2048,293.46,128,29.12,418637196
30720,2048,289.40,128,29.06,446825868
32768,2048,286.98,128,28.83,475014540
34816,2048,281.46,128,28.73,503203212
36864,2048,280.75,128,28.60,531391884
38912,2048,276.45,128,28.02,559580556
40960,2048,273.71,128,28.52,587769228
43008,2048,270.59,128,28.31,615957900
45056,2048,268.74,128,28.32,644146572
47104,2048,266.51,128,28.05,672335244
49152,2048,264.30,128,28.12,700523916
51200,2048,260.93,128,27.90,728712588
53248,2048,259.10,128,27.89,756901260
55296,2048,255.38,128,27.58,785089932
57344,2048,254.66,128,27.69,813278604
59392,2048,250.63,128,26.82,841467276
61440,2048,248.38,128,27.36,869655948
63488,2048,245.50,128,27.13,897844620
65536,2048,244.63,128,27.07,926033292
