ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,319.92,128,36.34,52184460
4096,2048,318.59,128,33.79,80373132
6144,2048,317.86,128,34.46,108561804
8192,2048,317.35,128,33.83,136750476
10240,2048,316.51,128,33.59,164939148
12288,2048,315.90,128,33.45,193127820
14336,2048,315.27,128,33.36,221316492
16384,2048,315.05,128,33.91,249505164
18432,2048,314.45,128,33.75,277693836
20480,2048,313.85,128,33.57,305882508
22528,2048,313.32,128,33.51,334071180
24576,2048,312.75,128,33.36,362259852
26624,2048,312.16,128,33.21,390448524
28672,2048,311.54,128,33.05,418637196
30720,2048,311.07,128,32.93,446825868
32768,2048,310.46,128,31.14,475014540
34816,2048,307.87,128,30.59,503203212
36864,2048,307.33,128,30.48,531391884
38912,2048,306.72,128,30.45,559580556
40960,2048,306.12,128,30.38,587769228
43008,2048,305.55,128,30.34,615957900
45056,2048,305.01,128,30.22,644146572
47104,2048,304.40,128,30.20,672335244
49152,2048,303.86,128,30.12,700523916
51200,2048,302.83,128,30.00,728712588
53248,2048,302.27,128,29.86,756901260
55296,2048,301.72,128,29.78,785089932
57344,2048,301.18,128,29.71,813278604
59392,2048,300.58,128,29.61,841467276
61440,2048,300.04,128,29.47,869655948
63488,2048,299.50,128,29.31,897844620
65536,2048,298.97,128,29.20,926033292
