ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
2048,2048,153.17,128,16.10,61.914,127,16.10,52184460
4096,2048,214.37,128,15.07,63.787,127,15.07,80373132
6144,2048,210.79,128,15.00,66.493,127,15.01,108561804
8192,2048,208.35,128,14.85,66.699,127,14.86,136750476
10240,2048,205.77,128,14.80,67.358,127,14.81,164939148
12288,2048,203.51,128,14.75,67.546,127,14.76,193127820
14336,2048,201.62,128,14.67,68.002,127,14.68,221316492
16384,2048,199.21,128,14.66,67.985,127,14.66,249505164
18432,2048,197.18,128,14.59,68.147,127,14.60,277693836
20480,2048,194.11,128,14.53,68.505,127,14.54,305882508
22528,2048,191.32,128,14.48,69.048,127,14.49,334071180
24576,2048,191.05,128,14.40,69.228,127,14.41,362259852
26624,2048,189.67,128,14.36,69.301,127,14.37,390448524
28672,2048,187.24,128,14.29,69.679,127,14.29,418637196
30720,2048,186.02,128,14.22,70.020,127,14.23,446825868
32768,2048,184.21,128,14.05,70.236,127,14.05,475014540
34816,2048,179.70,128,13.97,71.247,127,13.97,503203212
36864,2048,179.10,128,13.93,71.504,127,13.93,531391884
38912,2048,177.69,128,13.88,71.842,127,13.88,559580556
40960,2048,174.67,128,13.83,71.999,127,13.83,587769228
43008,2048,173.10,128,13.78,72.240,127,13.78,615957900
45056,2048,172.05,128,13.75,72.579,127,13.75,644146572
47104,2048,171.09,128,13.70,72.551,127,13.71,672335244
49152,2048,169.76,128,13.65,72.901,127,13.66,700523916
51200,2048,167.38,128,13.60,73.351,127,13.60,728712588
53248,2048,165.85,128,13.56,73.477,127,13.57,756901260
55296,2048,164.86,128,13.51,73.719,127,13.52,785089932
57344,2048,163.44,128,13.47,73.962,127,13.47,813278604
59392,2048,161.84,128,13.43,74.155,127,13.44,841467276
61440,2048,159.77,128,13.39,74.416,127,13.39,869655948
63488,2048,158.44,128,13.35,74.628,127,13.35,897844620
65536,2048,158.32,128,13.30,74.786,127,13.31,0
