ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
2048,2048,437.14,128,13.14,82.438,127,13.36,52184460
4096,2048,441.18,128,11.76,75.782,127,11.91,80373132
6144,2048,428.21,128,11.64,89.140,127,11.81,108561804
8192,2048,422.44,128,11.44,90.283,127,11.61,136750476
10240,2048,412.11,128,11.39,91.275,127,11.56,164939148
12288,2048,408.94,128,11.38,90.576,127,11.54,193127820
14336,2048,405.45,128,11.31,93.390,127,11.48,221316492
16384,2048,411.38,128,11.36,92.367,127,11.52,249505164
18432,2048,409.39,128,11.26,93.124,127,11.42,277693836
20480,2048,406.30,128,11.20,93.707,127,11.36,305882508
22528,2048,402.03,128,11.16,93.866,127,11.32,334071180
24576,2048,401.84,128,11.11,94.223,127,11.26,362259852
26624,2048,398.70,128,11.07,94.817,127,11.22,390448524
28672,2048,396.74,128,11.00,94.990,127,11.15,418637196
30720,2048,394.25,128,10.91,95.984,127,11.07,446825868
32768,2048,392.83,128,10.57,96.720,127,10.70,475014540
34816,2048,387.22,128,10.50,99.403,127,10.63,503203212
36864,2048,387.30,128,10.43,99.903,127,10.57,531391884
38912,2048,385.58,128,10.42,101.263,127,10.55,559580556
40960,2048,380.93,128,10.40,95.288,127,10.53,587769228
43008,2048,375.07,128,10.33,101.441,127,10.47,615957900
45056,2048,373.22,128,10.29,102.378,127,10.42,644146572
47104,2048,373.70,128,10.22,100.514,127,10.35,672335244
49152,2048,371.21,128,10.18,103.045,127,10.31,700523916
51200,2048,371.85,128,10.15,103.174,127,10.28,728712588
53248,2048,370.79,128,10.12,98.512,127,10.25,756901260
55296,2048,366.04,128,10.09,104.074,127,10.22,785089932
57344,2048,366.50,128,9.99,105.211,127,10.12,813278604
59392,2048,361.96,128,9.94,106.809,127,10.07,841467276
61440,2048,361.88,128,9.90,100.316,127,10.02,869655948
63488,2048,357.37,128,9.86,106.733,127,9.98,897844620
65536,2048,359.24,128,9.85,103.292,127,9.97,0
