variant,pos,requested,queued,total,engram,wait,gpu,driver,cbs,pread
control,2048,0,1,330.094000,5.595000,314.028002,222.196042,263.783165,81,2.596000
control,2049,0,1,74.566000,5.482000,58.293999,41.463959,8.095418,81,5.324000
control,2050,0,1,80.209000,8.256000,63.644001,40.724209,8.251667,81,2.222000
control,2051,0,1,67.618000,5.615000,57.577004,41.256791,8.400125,81,0.000000
control,2052,0,1,73.544000,8.057000,57.593999,41.269333,8.073955,81,1.736000
control,2053,0,1,83.179000,7.169000,58.305000,41.736044,8.234168,81,6.079000
control,2054,0,1,74.146000,7.417000,58.400001,41.498294,7.940914,81,2.060000
control,2055,0,1,73.834000,5.587000,58.116005,41.703415,7.939916,81,2.551000
candidate,2048,0,1,312.130000,6.493000,297.022999,276.666002,265.346751,43,1.887000
candidate,2049,0,1,72.931000,7.456000,57.527001,42.447500,7.833581,43,1.945000
candidate,2050,0,1,62.875000,5.461000,49.317003,40.432915,8.058710,43,1.718000
candidate,2051,0,1,59.355000,5.534000,49.985000,41.205378,7.964292,43,0.000000
candidate,2052,0,1,63.733000,6.447000,50.153000,41.254458,7.276669,43,1.520000
candidate,2053,0,1,73.163000,5.326000,50.640999,41.800790,7.545831,43,5.898000
candidate,2054,0,1,68.927000,5.307000,51.048999,41.348292,7.485626,43,2.136000
candidate,2055,0,1,66.959000,5.655000,50.595999,41.496334,7.632374,43,3.366000
